iter	RMSE
0	607201.6507
1	559407.5398
2	519131.7736
3	483532.6377
4	450360.0179
5	421451.5644
6	391337.2024
7	367184.6025
8	345752.3479
9	326454.8684
10	309840.8235
11	297014.903
12	285187.8675
13	272066.1861
14	259879.4224
15	251517.4214
16	244300.239
17	235052.6696
18	228046.0473
19	222192.7927
20	214681.8092
21	208925.0319
22	203119.17
23	196849.8588
24	193302.0642
25	191071.4413
26	186983.71
27	184795.6746
28	182504.5208
29	180699.4305
30	179051.8477
31	177516.4507
32	174584.1889
33	170675.2561
34	168860.4113
35	168642.4977
36	167549.6003
37	165142.9761
38	164999.5772
39	162942.0599
40	160604.467
41	160096.3241
42	158443.3672
43	158368.422
44	158012.3321
45	157325.3155
46	155568.2924
47	155405.2789
48	154368.037
49	154312.1804
50	153993.3161
51	153737.9334
52	153140.3522
53	151331.7001
54	151117.2088
55	150650.0912
56	150440.2416
57	149455.2355
58	149279.6497
59	149277.4228
60	147976.9389
61	147859.8763
62	147203.4843
63	147013.4828
64	146382.9507
65	146379.4048
66	144945.348
67	143719.8982
68	142634.9675
69	141456.2318
70	140567.518
71	139365.612
72	138310.932
73	137339.4542
74	137315.999
75	137313.1896
76	136840.2589
77	136621.9252
78	136619.8321
79	135333.6627
80	135075.6833
81	134502.0875
82	134409.2836
83	132911.4007
84	132858.8574
85	131826.6127
86	130790.9616
87	129564.9252
88	129564.806
89	128732.5103
90	128650.7223
91	128621.9178
92	127998.5078
93	127420.0248
94	126867.2962
95	125852.3891
96	125809.6125
97	125775.5516
98	125675.7297
99	125108.489
100	124331.7808
101	124311.1664
102	123601.8777
103	122834.1638
104	121419.5859
105	120916.446
106	120064.5971
107	119053.1743
108	118265.235
109	117485.214
110	117442.4909
111	117136.0191
112	117121.4844
113	116396.863
114	116009.1059
115	115971.6372
116	115935.8851
117	115264.323
118	114426.3017
119	113927.4224
120	113320.8168
121	112770.656
122	112446.7399
123	112427.0736
124	112161.55
125	112144.1117
126	111239.0628
127	111051.9591
128	110582.0801
129	110314.1882
130	109807.5635
131	109613.2107
132	109599.1795
133	109374.8608
134	109219.0227
135	108691.4361
136	108545.7489
137	108108.8233
138	108037.9753
139	107375.015
140	106988.4781
141	106956.5951
142	106729.1234
143	106439.6396
144	106225.8377
145	106216.3669
146	106044.7913
147	105924.6677
148	105811.233
149	105687.2119
150	105668.2544
151	105021.0491
152	104782.3634
153	104772.1543
154	104332.525
155	104326.2006
156	103815.6087
157	103768.7668
158	103762.9314
159	103757.3291
160	103752.0801
161	103642.3662
162	103327.1242
163	103083.0437
164	102983.0631
165	102894.3062
166	102677.9143
167	102104.267
168	102100.2289
169	101558.1744
170	101045.1073
171	100948.1101
172	100716.0744
173	100361.4098
174	99944.50728
175	99875.28586
176	99663.72806
177	99479.32674
178	99215.93363
179	98470.32475
180	98181.40858
181	97452.40459
182	97106.293
183	96744.36392
184	96510.7712
185	96451.38911
186	96295.28403
187	96121.11951
188	96006.26922
189	95901.46116
190	95805.69121
191	95560.22146
192	95472.29834
193	94819.48906
194	94664.50545
195	94526.86458
196	94216.11633
197	94135.54829
198	93753.54085
199	93608.14606
200	93535.21394
201	92940.55621
202	92790.62685
203	92628.2772
204	92344.00183
205	92260.48369
206	92200.48722
207	92133.15231
208	91942.46985
209	91798.54315
210	91407.76528
211	91215.19758
212	91095.62896
213	90995.0152
214	90867.49626
215	90750.27326
216	90499.95099
217	90362.4673
218	90288.25889
219	90208.2161
220	90006.90926
221	89896.45856
222	89641.47403
223	89574.27017
224	89298.0199
225	89282.063
226	89220.34111
227	88960.29663
228	88903.25145
229	88746.42629
230	88647.38275
231	88506.33061
232	88378.89792
233	88333.8921
234	88218.81079
235	88051.0616
236	87811.60058
237	87696.39261
238	87620.04757
239	87533.53403
240	87366.85123
241	87221.12522
242	86961.703
243	86774.0744
244	86599.79985
245	86582.57454
246	86562.94145
247	86549.208
248	86412.32111
249	86400.12044
250	86275.30163
251	86254.34957
252	86141.43501
253	86058.21036
254	85890.14775
255	85735.92675
256	85558.92193
257	85477.64437
258	85260.34326
259	85247.40124
260	85238.86153
261	85231.1837
262	84785.84527
263	84646.77553
264	84091.50966
265	84022.35787
266	83737.63334
267	83730.17197
268	83285.65259
269	83198.89192
270	83192.59817
271	83102.44815
272	82839.72675
273	82717.80957
274	82712.41793
275	82305.25645
276	82293.78889
277	82076.81885
278	82072.67061
279	82007.19758
280	81944.67127
281	81884.07827
282	81877.58975
283	81658.08208
284	81652.05518
285	81649.12793
286	81446.42754
287	81143.50951
288	81137.28857
289	80873.61427
290	80867.37039
291	80853.04179
292	80847.28087
293	80841.91551
294	80733.29704
295	80728.37351
296	80716.18956
297	80481.9634
298	80477.17077
299	80459.0491
