iter	Passed	Remaining
0	173	103814
1	201	60205
2	234	46624
3	266	39648
4	300	35775
5	332	32939
6	359	30495
7	387	28670
8	416	27373
9	443	26161
10	475	25439
11	494	24249
12	525	23712
13	555	23260
14	580	22624
15	610	22270
16	656	22517
17	686	22188
18	731	22375
19	811	23528
20	846	23337
21	887	23314
22	917	23025
23	950	22815
24	996	22917
25	1029	22738
26	1073	22786
27	1110	22686
28	1143	22521
29	1175	22335
30	1209	22191
31	1242	22053
32	1275	21911
33	1311	21829
34	1345	21727
35	1379	21613
36	1414	21515
37	1447	21400
38	1476	21245
39	1508	21114
40	1539	20993
41	1574	20923
42	1600	20734
43	1631	20614
44	1663	20512
45	1708	20573
46	1740	20472
47	1773	20389
48	1806	20318
49	1866	20532
50	1898	20433
51	1929	20334
52	1984	20485
53	2023	20455
54	2056	20373
55	2086	20270
56	2121	20205
57	2154	20129
58	2184	20034
59	2218	19968
60	2249	19877
61	2281	19794
62	2313	19721
63	2346	19655
64	2377	19568
65	2408	19483
66	2449	19482
67	2482	19421
68	2503	19268
69	2541	19241
70	2574	19179
71	2605	19106
72	2635	19028
73	2668	18965
74	2701	18907
75	2732	18840
76	2773	18840
77	2805	18775
78	2837	18711
79	2899	18846
80	2930	18778
81	2946	18612
82	3026	18854
83	3062	18812
84	3099	18781
85	3140	18768
86	3176	18730
87	3225	18768
88	3260	18720
89	3297	18683
90	3332	18638
91	3371	18616
92	3418	18635
93	3457	18609
94	3514	18684
95	3553	18656
96	3593	18632
97	3650	18697
98	3693	18693
99	3728	18640
100	3769	18621
101	3804	18574
102	3841	18536
103	3910	18648
104	3973	18732
105	4010	18688
106	4085	18823
107	4127	18805
108	4165	18764
109	4235	18866
110	4274	18831
111	4333	18881
112	4386	18904
113	4423	18859
114	4473	18866
115	4514	18837
116	4565	18848
117	4666	19061
118	4707	19027
119	4745	18982
120	4789	18958
121	4831	18928
122	4885	18947
123	4922	18894
124	4958	18842
125	4994	18789
126	5033	18747
127	5069	18693
128	5104	18638
129	5157	18647
130	5199	18615
131	5237	18568
132	5274	18520
133	5312	18474
134	5346	18416
135	5398	18419
136	5435	18368
137	5471	18316
138	5545	18392
139	5611	18436
140	5644	18376
141	5679	18318
142	5716	18267
143	5757	18231
144	5801	18204
145	5836	18150
146	5886	18141
147	5930	18112
148	5968	18066
149	6037	18112
150	6081	18083
151	6131	18071
152	6193	18095
153	6240	18074
154	6276	18021
155	6314	17970
156	6364	17957
157	6424	17972
158	6463	17927
159	6517	17924
160	6585	17956
161	6622	17905
162	6662	17861
163	6700	17813
164	6736	17760
165	6799	17776
166	6862	17792
167	6902	17748
168	6954	17735
169	6990	17681
170	7024	17623
171	7067	17587
172	7107	17541
173	7143	17488
174	7177	17431
175	7210	17371
176	7255	17338
177	7292	17288
178	7328	17236
179	7370	17196
180	7435	17212
181	7469	17156
182	7504	17101
183	7539	17045
184	7577	16998
185	7612	16943
186	7644	16882
187	7675	16821
188	7707	16761
189	7740	16703
190	7776	16653
191	7810	16596
192	7843	16540
193	7874	16480
194	7906	16420
195	7937	16360
196	7978	16321
197	8011	16265
198	8044	16211
199	8080	16161
200	8119	16118
201	8153	16064
202	8184	16005
203	8233	15981
204	8266	15927
205	8296	15868
206	8327	15810
207	8358	15753
208	8390	15696
209	8419	15637
210	8461	15599
211	8506	15568
212	8536	15510
213	8568	15455
214	8599	15398
215	8632	15347
216	8688	15335
217	8721	15282
218	8780	15276
219	8812	15221
220	8847	15172
221	8878	15116
222	8965	15157
223	9001	15110
224	9049	15082
225	9087	15038
226	9122	14990
227	9156	14939
228	9201	14906
229	9241	14866
230	9274	14814
231	9309	14766
232	9343	14717
233	9385	14679
234	9420	14631
235	9455	14583
236	9490	14535
237	9539	14510
238	9577	14466
239	9612	14418
240	9656	14384
241	9693	14339
242	9725	14288
243	9758	14237
244	9792	14188
245	9875	14211
246	9913	14167
247	9961	14139
248	9994	14089
249	10030	14042
250	10080	14016
251	10126	13984
252	10162	13938
253	10206	13903
254	10242	13857
255	10281	13816
256	10318	13771
257	10353	13724
258	10386	13675
259	10421	13627
260	10484	13617
261	10519	13570
262	10558	13528
263	10594	13483
264	10632	13440
265	10668	13395
266	10703	13349
267	10739	13303
268	10776	13260
269	10813	13216
270	10855	13179
271	10892	13135
272	10939	13102
273	10973	13056
274	11021	13025
275	11058	12981
276	11093	12936
277	11149	12914
278	11187	12871
279	11255	12863
280	11290	12817
281	11329	12775
282	11364	12730
283	11399	12683
284	11433	12637
285	11468	12591
286	11504	12546
287	11538	12499
288	11572	12453
289	11609	12410
290	11645	12365
291	11678	12318
292	11715	12275
293	11750	12229
294	11784	12184
295	11817	12137
296	11865	12105
297	11913	12073
298	11948	12028
299	11986	11986
300	12044	11964
301	12085	11925
302	12127	11887
303	12168	11848
304	12223	11822
305	12265	11784
306	12315	11753
307	12353	11711
308	12409	11686
309	12449	11646
310	12489	11605
311	12524	11561
312	12597	11550
313	12629	11503
314	12663	11457
315	12716	11428
316	12751	11383
317	12786	11338
318	12820	11293
319	12863	11255
320	12931	11239
321	12964	11192
322	13014	11161
323	13049	11116
324	13087	11073
