Actual,Forecast
1354648.0,
2689569.0,
1300571.0,
,
706677.0,
255723.0,
180125.0,
74768.0,
3543797.0,
2199420.0,
1105675.0,
677096.0,
632424.0,
216178.0,
180821.0,
69345.0,
3223690.0,
2106583.0,
1725522.0,
748273.0,
75211.0,
3634761.0,
2510682.0,
1346038.0,
751349.0,
750710.0,
272017.0,
187646.0,
81680.0,
3665788.0,
2261094.0,
1154974.0,
694316.0,
688464.0,
243224.0,
193567.0,
78573.0,
3558134.0,
2299894.0,
1753542.0,
843778.0,
302037.0,
4286063.0,
2923280.0,
1625888.0,
1094291.0,
925999.0,
302759.0,
221037.0,
91531.0,
3223253.0,
2025461.0,
1084128.0,
622252.0,
612737.0,
213163.0,
167563.0,
67336.0,
3375812.0,
2106685.0,
1596552.0,
733809.0,
254773.0,
3377895.0,
2296989.0,
1284911.0,
767938.0,
718836.0,
239246.0,
178274.0,
72639.0,
3017046.0,
,
,
591901.0,
574014.0,
197400.0,
160398.0,
63347.0,
3311139.0,
2069084.0,
1633456.0,
688525.0,
222620.0,
3133000.0,
2125630.0,
,
690996.0,
631380.0,
208570.0,
159207.0,
62262.0,
3235262.0,
2071017.0,
1099827.0,
,
599431.0,
197779.0,
178201.0,
67570.0,
3358925.0,
2105210.0,
1562609.0,
695978.0,
233506.0,
,855960.0004742895
,1019440.5118892035
,760503.0382405869
,919054.454748767
3586692.0,839594.8762591025
2461470.0,1090328.0920372107
1437585.0,1224316.4691027782
787621.0,1340777.3918503541
767861.0,1040205.7880474101
262065.0,1018834.3537755252
186680.0,1025849.4088236606
73677.0,1444720.405650788
2883471.0,1439064.1791734109
1885690.0,1525691.0742423285
1013262.0,1162409.781494924
586156.0,1019462.8654369465
517551.0,930189.7715083212
188447.0,1048960.8858940573
144421.0,1177991.357841398
54953.0,1300418.2202601754
3507414.0,1005918.5757642427
2227847.0,1007537.3631080381
1615793.0,1006867.8726675567
758856.0,1413252.4211115798
,1420458.1753699433
,1509680.145222703
,1151994.2517875973
,1019651.1618930267
250201.0,939339.4789908781
,1085791.1640075992
,1202240.5680542109
,1321341.2739261265
,1020437.9048377357
,1008622.4588477241
,999665.6386360185
,1379179.5806511133
,1397785.5708400174
,1490112.5818917167
,1138336.9492632358
,1018521.1732527997
,945663.6875098357
,1116440.215364488
,1222664.131361154
,1338968.3927241645
,1032750.36617141
4035885.0,1009654.3189017416
2797449.0,994018.3275651927
1756712.0,1351716.9661426903
963234.0,1379481.6776649551
877876.0,1474314.8290001228
331538.0,1127301.0985342055
218565.0,
84189.0,
2790598.0,
1770074.0,
939509.0,
,
513448.0,
160160.0,
129317.0,
49641.0,
3294811.0,
2121053.0,
1563578.0,
699220.0,
233305.0,
4703447.0,
3333479.0,
2226575.0,
1421116.0,
1166935.0,
428245.0,
369868.0,
107262.0,
3278319.0,
2111235.0,
1110378.0,
622611.0,
598734.0,
211608.0,
159575.0,
64313.0,
3302399.0,
2097116.0,
1499693.0,
680125.0,
234870.0,
4583672.0,
3157506.0,
2046021.0,
,
1263385.0,
438289.0,
363340.0,
116838.0,
3057604.0,
1953667.0,
1029518.0,
569614.0,
538410.0,
186024.0,
145270.0,
57111.0,
3131811.0,
1949385.0,
1512154.0,
708302.0,
253296.0,
3453194.0,
2334668.0,
1403406.0,
1036956.0,
923885.0,
292325.0,
262937.0,
88429.0,
3048799.0,
1956176.0,
1091291.0,
589659.0,
,
194989.0,
150339.0,
62451.0,
3440102.0,
2101273.0,
1665241.0,
712806.0,
249598.0,
2976450.0,
2021915.0,
1200512.0,
901147.0,
788251.0,
244201.0,
223100.0,
74488.0,
3067802.0,
2127445.0,
1111335.0,
583821.0,
561741.0,
199009.0,
148321.0,
61206.0,
3320725.0,
2068096.0,
1676560.0,
792673.0,
281102.0,
3322789.0,
2304318.0,
1395439.0,
,
901662.0,
278010.0,
255524.0,
85929.0,
3709579.0,
2737312.0,
1371534.0,
745776.0,
,
258403.0,
184129.0,
76529.0,
3756097.0,
2383839.0,
1955083.0,
919763.0,
314879.0,
