Actual,Forecast
28903.0,367570.66
42569.0,36679.35
48209.0,49667.46
75152.0,54982.516
103882.0,80009.14
108349.0,106033.0
326618.0,110017.88
25661.0,284809.75
371396.0,33575.41
2304318.0,315916.72
1395439.0,572668.56
901662.0,652999.1
278010.0,571124.75
255524.0,249232.47
85929.0,232131.25
424743.0,89851.125
25434.0,350916.62
158246.0,33357.76
21332.0,153409.89
3875.0,29417.188
4992.0,12490.929
2157.0,13581.539
934.0,10811.478
25380.0,9614.438
3393.0,33305.97
6850.0,12019.998
7540.0,15393.362
2344.0,16065.48
8578.0,10994.408
9881.0,17075.84
12968.0,18342.877
14750.0,21339.045
15447.0,23065.0
17720.0,23739.373
19891.0,25935.762
8025.0,28029.578
24712.0,16537.676
45722.0,32665.188
47436.0,52642.05
72670.0,54255.605
102187.0,77728.84
104158.0,104516.65
25606.0,106279.72
244201.0,33522.688
437011.0,223364.94
461165.0,358652.03
788251.0,373542.9
901147.0,532936.6
1200512.0,570969.75
2021915.0,635430.6
2976450.0,617652.5
24356.0,438417.28
361914.0,32323.537
21917.0,309462.12
187240.0,29980.016
18163.0,177682.47
1649.0,26363.326
2231.0,10314.415
3141.0,10883.88
3238.0,11773.698
4539.0,11868.51
6080.0,13139.37
693.0,14642.847
7092.0,9378.406
7312.0,15629.132
19208.0,15843.434
16720.0,27371.271
74488.0,24969.984
15119.0,79399.59
13964.0,23422.086
12141.0,22304.05
9484.0,20537.156
223100.0,17956.98
7564.0,206750.52
3453194.0,16088.854
30583.0,341942.16
33394.0,38284.367
46068.0,40964.69
54447.0,52967.965
97626.0,60830.363
104662.0,100424.47
223810.0,106730.03
413482.0,207315.45
506752.0,343713.44
28233.0,400432.97
292325.0,36038.594
923885.0,259906.88
1036956.0,577663.2
1403406.0,606388.75
2334668.0,653363.7
71323.0,567207.94
518074.0,76489.18
27495.0,406867.7
21527.0,35332.383
5007.0,29604.822
4060.0,13596.183
24084.0,12671.629
2949.0,32062.432
2235.0,11586.011
942.0,10887.791
5186.0,9622.275
7660.0,13770.852
7194.0,16182.338
10855.0,15728.495
11417.0,19289.078
13902.0,19834.67
15489.0,22244.006
88429.0,23779.992
262937.0,92120.49
15527.0,237814.19
19981.0,23816.748
9446.0,28116.291
69648.0,17920.037
39096.0,74945.55
34937.0,46381.42
68321.0,42433.152
121829.0,73720.95
438289.0,121943.055
163816.0,359451.2
287979.0,158126.4
554469.0,256683.53
643474.0,426903.34
689114.0,471807.06
1263385.0,492635.22
2046021.0,642992.44
3157506.0,614303.7
4583672.0,400996.25
145075.0,160754.83
30368.0,142155.36
21188.0,38079.098
28135.0,29278.6
1297.0,35944.844
28597.0,9969.874
4045.0,36386.746
4641.0,12656.981
5726.0,13238.947
6101.0,14297.644
8719.0,14663.324
9040.0,17213.014
12107.0,17525.25
3011.0,20504.172
13023.0,11646.63
23029.0,21392.357
18895.0,31049.094
12653.0,27069.47
23363.0,21033.672
116838.0,31370.004
26716.0,117545.234
363340.0,34586.434
714014.0,310437.3
1421116.0,503386.25
1166935.0,654081.56
2226575.0,630602.06
107262.0,586176.0
369868.0,109049.734
35947.0,314881.38
46064.0,43393.305
3333479.0,52964.188
104827.0,365442.4
4703447.0,106877.4
142950.0,146280.3
320300.0,140326.17
590422.0,280292.44
710544.0,445734.38
76806.0,501913.66
135391.0,81525.9
69401.0,133789.33
35920.0,74717.72
1011.0,43367.637
2514.0,9689.841
4143.0,11160.68
5298.0,12752.69
5413.0,13880.131
7226.0,13992.337
7417.0,15759.674
7747.0,15945.696
428245.0,16267.035
23011.0,353136.62
23213.0,31031.791
33979.0,31225.893
33688.0,41521.656
25041.0,41244.63
32196.0,32980.83
27810.0,39823.184
27147.0,35633.87
13944.0,34999.22
68942.0,22284.682
88521.0,74294.22
114004.0,92203.89
123188.0,115038.914
283435.0,123136.945
660336.0,253297.2
674950.0,479672.84
84189.0,486327.8
218565.0,88268.61
331538.0,203132.47
4035885.0,288305.44
963234.0,238549.38
1756712.0,588509.0
2797449.0,646350.44
563120.0,475656.75
877876.0,431521.2
4031.0,563789.9
35549.0,12643.302
4849.0,43015.047
5185.0,13441.975
5416.0,13769.875
6522.0,13995.259
6926.0,15073.728
8814.0,15467.411
58333.0,17305.43
12419.0,64457.03
2148.0,20806.777
19505.0,10802.678
15467.0,27657.586
24920.0,23758.72
25923.0,32864.766
27333.0,33826.586
28086.0,35177.3
32585.0,35897.965
33011.0,40193.97
35113.0,40599.875
24703.0,42600.523
892.0,32656.545
74984.0,9573.312
96475.0,79854.95
58031.0,99389.07
46252.0,64175.613
242174.0,53141.258
103206.0,221784.6
503072.0,105428.555
586669.0,398320.7
608543.0,443812.88
34373.0,454868.0
29266.0,41896.625
2933.0,37026.33
28502.0,11570.373
1437585.0,36295.89
28705.0,654636.1
787621.0,36490.027
767861.0,532701.4
262065.0,525188.44
186680.0,237148.02
73677.0,177220.19
1053.0,78654.61
2384.0,9730.972
2461470.0,11033.537
4740.0,543439.06
4602.0,13335.581
6830.0,13200.869
6842.0,15373.875
7493.0,15385.565
11797.0,16019.706
13031.0,20203.43
15204.0,21400.11
19025.0,23504.309
20288.0,27194.834
22203.0,28412.041
25467.0,30255.078
26285.0,33389.395
5078.0,34173.523
3586692.0,13665.466
86645.0,316542.38
202669.0,90501.62
442810.0,190318.02
631380.0,362268.1
159207.0,466041.2
496709.0,154225.44
542591.0,394644.38
3133000.0,420472.8
2125630.0,406022.94
690996.0,602524.8
85549.0,493462.8
208570.0,89505.734
62262.0,195099.14
65749.0,68111.06
28161.0,71343.32
37856.0,35969.727
5486.0,45205.758
2828.0,14063.543
2619.0,11467.721
6283.0,11263.358
1158.0,14840.762
46789.0,9833.777
7547.0,53646.797
4118.0,16072.3
9323.0,12728.2705
11997.0,17800.441
8014.0,20397.465
18890.0,16526.97
20030.0,27064.652
21114.0,28163.502
21151.0,29207.371
23095.0,29242.992
24229.0,31112.521
27247.0,32201.635
28087.0,35094.953
3662.0,35898.92
232430.0,12282.842
548775.0,214141.39
593002.0,423833.7
95915.0,447049.3
767938.0,98884.9
178274.0,525218.2
239246.0,170250.19
718836.0,219496.02
1284911.0,505418.88
2296989.0,645152.9
3377895.0,573972.25
92802.0,356650.22
72639.0,96077.6
71001.0,77700.336
7794.0,76192.6
42764.0,16312.796
1254.0,49851.668
8174.0,9927.7705
4096.0,16682.707
5072.0,12706.785
57406.0,13659.614
5766.0,63593.043
8351.0,14336.655
10261.0,16854.963
2737.0,18712.117
13914.0,11378.739
13455.0,22255.627
22715.0,21810.996
23132.0,30747.312
23693.0,31148.07
24262.0,31686.975
26433.0,32233.309
28630.0,34315.33
30043.0,36418.312
32564.0,37768.72
22036.0,40173.95
3772.0,30094.469
314975.0,12390.3
637049.0,276460.34
772490.0,468756.9
125358.0,526971.6
925999.0,125040.2
221037.0,578269.5
302759.0,205106.7
119732.0,267583.53
1094291.0,120097.77
1625888.0,618181.94
2923280.0,653800.94
4286063.0,449484.5
91531.0,200620.92
92728.0,94929.1
14126.0,96010.77
55852.0,22460.936
79575.0,62143.05
6599.0,84060.04
6007.0,15148.771
5631.0,14571.671
8646.0,14204.987
5277.0,17142.0
3246.0,13859.641
1363.0,11876.328
13487.0,10034.483
15469.0,21841.994
18062.0,23760.658
27758.0,26265.855
9067.0,35584.1
31188.0,17551.506
47820.0,38861.79
36835.0,54616.77
36399.0,44236.766
35086.0,43822.715
27888.0,42574.844
35044.0,35708.51
32147.0,42534.914
81680.0,39776.473
1346038.0,85982.27
2510682.0,650146.9
3634761.0,533865.3
272017.0,307626.28
84918.0,244714.53
751349.0,88931.945
750710.0,518710.9
664787.0,518456.56
591953.0,481715.7
543134.0,446515.22
257252.0,420769.06
91759.0,233459.92
187646.0,95135.24
70273.0,178017.44
20935.0,75521.805
44017.0,29035.068
67306.0,51034.55
7792.0,72783.31
8263.0,16310.86
9783.0,16769.324
12712.0,18247.623
13349.0,21090.883
28361.0,21708.291
28542.0,36161.03
7590.0,36334.156
5549.0,16114.172
26773.0,14124.999
4408.0,34641.047
2672.0,13011.461
1118.0,11315.186
28546.0,9794.618
36029.0,36337.97
36685.0,43471.223
37620.0,44094.336
38606.0,44981.855
5048.0,45917.004
41520.0,13636.192
56614.0,48675.996
70151.0,62854.29
81416.0,75409.336
512155.0,85741.39
222199.0,403515.72
466208.0,206033.05
34477.0,376595.4
584005.0,41995.57
95001.0,442442.72
32823.0,98061.49
15260.0,40420.754
29359.0,23558.484
2250.0,37115.223
3201.0,10902.466
3616.0,11832.342
4399.0,12237.8955
6062.0,13002.679
6103.0,14625.295
6178.0,14665.278
8489.0,14738.394
9334.0,16989.25
12201.0,17811.143
20744.0,20595.348
22713.0,28851.174
23730.0,30745.398
28265.0,31722.512
32552.0,36069.203
897.0,40162.527
1354648.0,9578.205
74768.0,650718.4
180125.0,79656.68
255723.0,171789.98
706677.0,232284.39
1300571.0,500262.72
2689569.0,646591.2
28271.0,497907.62
27582.0,36074.95
27358.0,35415.652
27061.0,35201.24
15356.0,34916.867
13521.0,23651.344
13229.0,21874.936
10966.0,21592.006
6062.0,19396.855
7962.0,14625.295
31549.0,16476.352
6020.0,39206.203
5360.0,14584.343
5150.0,13940.623
3239.0,13735.722
1340.0,11869.486
8396.0,10011.964
32930.0,16898.748
28194.0,40522.71
38690.0,36001.29
664367.0,45996.637
558042.0,481523.53
521898.0,428817.3
36443.0,409019.3
3709579.0,43864.51
2737312.0,294006.62
1371534.0,488094.84
258403.0,651747.3
745776.0,234343.61
76529.0,516483.34
252235.0,81272.016
109094.0,229595.58
86408.0,110680.88
78570.0,90286.35
65623.0,83141.0
40588.0,71226.7
184129.0,47794.34
12460.0,175111.06
1111335.0,20846.537
2127445.0,621344.25
583821.0,602244.1
3067802.0,442347.9
9208.0,419463.8
1662.0,17688.617
7022.0,10327.144
6835.0,15560.944
5958.0,15378.745
3762.0,14523.891
561741.0,12380.536
8555.0,430788.78
199009.0,17053.465
6610.0,187338.27
61206.0,15159.494
675767.0,67130.23
552723.0,486695.44
257782.0,425964.66
114704.0,233866.98
148321.0,115658.586
87365.0,144942.3
72662.0,91155.28
42753.0,77721.5
38952.0,49841.28
88016.0,46244.965
33840.0,91745.95
32303.0,41389.336
29669.0,39925.195
29288.0,37411.445
28961.0,37047.37
28877.0,36734.797
27297.0,36654.496
17527.0,35142.84
15025.0,25749.441
14931.0,23331.13
37887.0,23240.168
92883.0,45235.176
3048799.0,96150.766
1956176.0,423396.88
589659.0,626220.0
86465.0,445344.56
194989.0,90338.125
150339.0,184052.84
62451.0,146670.55
95630.0,68286.52
118728.0,98628.23
785903.0,119213.02
648832.0,532058.44
1091291.0,474328.34
45909.0,617609.2
294676.0,52818.2
40998.0,261644.2
41080.0,48182.277
13240.0,48259.844
11162.0,21602.66
9050.0,19587.145
8543.0,17534.975
8459.0,17041.787
7807.0,16960.055
4108.0,16325.46
1760.0,12718.511
637409.0,10423.046
6608.0,468928.56
17320.0,15157.54
38575.0,25549.55
16903.0,45887.62
35243.0,25146.791
32802.0,42724.133
38476.0,40400.754
30287.0,45793.742
29002.0,38001.754
21310.0,36773.99
31428.0,29396.014
25263.0,39090.773
17514.0,33193.76
18713.0,25736.877
21369.0,26893.938
21441.0,29452.791
23330.0,29522.074
29465.0,31338.299
72009.0,37216.523
34354.0,77120.695
145270.0,41878.543
186024.0,142323.05
538410.0,176678.33
569614.0,418184.34
1029518.0,434951.4
1953667.0,604725.6
3057604.0,626529.8
31473.0,421573.72
642725.0,39133.707
520986.0,471453.0
220736.0,408507.16
95257.0,204866.58
85567.0,98292.19
57046.0,89522.12
39888.0,63257.32
34755.0,47131.68
530740.0,42260.05
57111.0,413952.38
9666.0,63317.945
2531.0,18133.9
3521.0,11177.294
3854.0,12145.077
5338.0,12470.415
6243.0,13919.16
6542.0,14801.764
12664.0,15093.216
1032.0,21044.338
7409.0,9710.406
7984.0,15937.903
12594.0,16497.771
17270.0,20976.475
19319.0,25501.266
20717.0,27478.283
22558.0,28825.182
22124.0,30596.402
10738.0,30179.102
23359.0,19175.45
21942.0,31366.166
8382.0,30004.068
3315.0,16885.13
7684.0,11943.764
6936.0,16205.702
5520.0,15477.153
23661.0,14096.711
3119.0,31656.252
3006.0,11752.195
2452.0,11641.741
3278319.0,11100.034
2111235.0,376471.53
904.0,604732.5
7788.0,9585.06
29661.0,16306.957
45563.0,37403.805
622611.0,52492.246
211608.0,461795.2
598734.0,197549.48
37026.0,449953.5
1110378.0,44418.1
608351.0,621170.75
513130.0,454772.44
492346.0,404069.72
159575.0,392105.84
64313.0,154537.56
200638.0,70013.46
89920.0,188665.81
81461.0,93471.48
67111.0,85782.445
28045.0,72603.09
1770074.0,35858.74
939509.0,645312.1
2790598.0,582080.56
24222.0,477077.12
513448.0,32194.906
469601.0,404250.22
449360.0,378638.25
187122.0,366321.25
71717.0,177585.08
