Actual,Forecast
3322789.0,0.0
28903.0,1276442.4833181065
42569.0,347023.1932246746
48209.0,-267041.752826701
75152.0,-417120.03460900986
103882.0,-392526.54300510325
108349.0,1926036.0445029328
326618.0,-482738.1961772375
25661.0,-123378.74469353816
371396.0,52568.57072987111
2304318.0,65538.51912692764
1395439.0,719981.0249256955
901662.0,1868975.1345926332
278010.0,149312.8217494053
255524.0,-64154.98046928883
85929.0,169007.73285604428
424743.0,751293.7243229728
25434.0,286004.1975922424
158246.0,925594.7807875479
21332.0,-201779.40963505208
3875.0,-75157.40886231326
4992.0,100334.86381512166
2157.0,620859.7603023496
934.0,75163.70536160414
25380.0,700820.3419742286
3393.0,-183950.77209810514
6850.0,-71817.9164652829
7540.0,89776.44707509989
2344.0,509137.2077105611
8578.0,71381.1658108625
9881.0,598856.39196016
12968.0,-161633.90153596867
14750.0,-57513.820286937196
15447.0,81385.12973336955
17720.0,427827.32847984834
19891.0,69069.97946011697
8025.0,513083.89318957244
24712.0,-133335.0805466459
45722.0,-43705.136205939816
47436.0,85390.26785107769
72670.0,390417.16361281916
102187.0,88448.96757613313
104158.0,488639.0073740508
25606.0,-75023.10541972832
244201.0,-23089.43683992859
437011.0,143998.59809857214
461165.0,507047.0046566315
788251.0,270055.5429623695
901147.0,709801.0549241973
1200512.0,278870.06685640384
2021915.0,485150.96356267366
2976450.0,904734.828840652
24356.0,1556105.9922611397
361914.0,435363.58139957517
21917.0,404526.8335408715
187240.0,-37437.291452105856
18163.0,208162.11857313314
1649.0,369387.31644428335
2231.0,158002.77985112407
3141.0,103111.81111842053
3238.0,381365.27408813545
4539.0,7826.875532418431
6080.0,125578.10530134298
693.0,268159.6860693946
7092.0,162097.19499428725
7312.0,106623.31649358863
19208.0,358268.88277068426
16720.0,11603.757954452123
74488.0,126264.78041783682
15119.0,278220.89320742246
13964.0,156713.64908810068
12141.0,98780.10698580847
9484.0,329307.039249156
223100.0,7519.691623082825
7564.0,188221.01830455067
3453194.0,257287.15628006522
30583.0,1315358.49157473
33394.0,558384.8657530805
46068.0,209667.80441128326
54447.0,-48811.15278752902
97626.0,99602.78737201779
104662.0,555117.0981983021
223810.0,86250.23274812559
413482.0,129535.22074951068
506752.0,456678.57503289904
28233.0,246876.8914409793
292325.0,158315.0621518793
923885.0,495376.4241115786
1036956.0,398143.1268194491
1403406.0,545385.6019972763
2334668.0,886096.9066000315
71323.0,942136.7174633044
518074.0,370531.3905640809
27495.0,544560.942436354
21527.0,108721.05590489402
5007.0,119326.54789410648
4060.0,405475.1493504471
24084.0,-45083.73056217836
2949.0,125541.76044039958
2235.0,419370.0070226737
942.0,87734.75996905623
5186.0,117128.88163072204
7660.0,357996.1364977046
7194.0,-29843.838063261857
10855.0,112749.89293792023
11417.0,410235.54419532564
13902.0,85286.65193530988
15489.0,117712.22745260848
88429.0,349441.3757901762
262937.0,-2802.9672586489205
15527.0,204910.26039253635
19981.0,411356.4501828099
9446.0,77015.12764124788
69648.0,103948.30618902773
39096.0,349337.8119727256
34937.0,7596.609624988021
68321.0,108857.0693348617
121829.0,387358.32262941974
438289.0,122200.77769612831
163816.0,269448.1385682612
287979.0,423318.05499833345
554469.0,83838.21003927811
643474.0,304445.8699630787
689114.0,623615.2490297512
1263385.0,393969.15269578237
2046021.0,590070.6215504571
3157506.0,1135938.1814957769
4583672.0,1307963.702936926
145075.0,2010631.1998886121
30368.0,862230.9370508895
21188.0,-67466.3620534516
28135.0,59373.47040113574
1297.0,420868.51486325264
28597.0,218701.0180757055
4045.0,24964.289087017736
4641.0,301485.91305897635
5726.0,132268.43187663093
6101.0,164289.50976145593
8719.0,375952.9197120703
9040.0,138768.69305993896
12107.0,32077.3967472765
3011.0,307309.2614602335
13023.0,130419.85662014282
23029.0,163749.4929523637
18895.0,376292.66587419686
12653.0,148868.90241797257
23363.0,25908.02312721702
116838.0,292723.2086431865
26716.0,165225.71473723033
363340.0,173460.88083033726
714014.0,469275.9947238755
1421116.0,416223.8914581068
1166935.0,596635.2549900698
2226575.0,842371.6970956976
107262.0,972004.7463925965
369868.0,421801.12695617165
35947.0,401980.50887672225
46064.0,184836.2437178865
3333479.0,50450.56991913379
104827.0,1501938.2729424203
4703447.0,560992.6369733217
142950.0,1675475.7272467003
320300.0,928252.0247197181
590422.0,113152.52427979204
710544.0,337387.10175741604
76806.0,556343.6061684511
135391.0,402517.9137765737
69401.0,117056.71565796326
35920.0,335758.81121524726
1011.0,202400.52974643023
2514.0,183149.3828373087
4143.0,265605.6795049668
5298.0,218301.84855731443
5413.0,103367.85267564758
7226.0,313256.3691765912
7417.0,172136.632996636
7747.0,181052.50875430205
428245.0,255930.77810838056
23011.0,376601.4793617654
23213.0,159192.2238543501
33979.0,300262.14383496804
33688.0,174030.81816420978
25041.0,175547.32657014523
32196.0,281510.6592322672
27810.0,215077.67133750702
27147.0,103736.81840588606
13944.0,303484.32886146643
